experiment,corrente_A,velocidade_bico_mm_min,vazao_massica_g_min,numero_frames,y_original_media_mm,y_original_dp_mm,y_reconstruido_media_mm,y_reconstruido_dp_mm,percentual_frames,reconstruido_menos_original_media_mm
L1,120,60,10,4234,10.267636776767937,0.8609724378920938,10.659663288689503,0.9172791235395823,15.896973792896297,0.392026511921566
L4,120,80,10,3050,9.0626541858112,0.8429224064481478,8.865844050089082,1.0421947587809575,11.451528121949387,-0.19681013572211725
L7,120,100,10,1750,7.076931035676175,0.6932319064865399,6.90777270126292,0.48289658828197285,6.5705489224299765,-0.16915833441325479
L2,160,60,15,3950,12.610844082146645,0.7576068303610689,12.669670716713238,0.8828817916916517,14.830667567770519,0.05882663456659287
L5,160,80,15,3100,11.494322087501638,0.5566511778776293,11.113597596255504,0.578300760231365,11.639258091161674,-0.3807244912461343
L8,160,100,15,1850,9.097184177689272,0.5070959511009143,8.800813038265133,0.6337437239616167,6.946008860854547,-0.2963711394241386
L3,200,60,20,3850,15.213764733132944,0.659636159167555,15.017101600551998,0.6537169538306058,14.45520762934595,-0.19666313258094625
L6,200,80,20,2950,12.639848145737282,0.6176581607096387,12.68159170039179,0.5416685018023071,11.076068183524818,0.04174355465450752
L9,200,100,20,1900,9.938184138812996,0.5531235971429308,9.725098708619061,0.5377828604522518,7.133738830066832,-0.2130854301939351
