experimento,operador,largura_media_global_mm,desvio_padrao_medio_mm,desvio_padrao_maximo_mm,amplitude_media_mm,mae_medio_mm,rmse_medio_mm,amplitude_comprimento_mm,mae_relativo_percentual,rmse_relativo_percentual,operador_rotulo
L2,operador_01,12.623424929136068,0.0931306099252351,0.2171091091935909,0.1763915934043971,0.1175943956029314,0.1467666264161306,1.8572909125120844,0.9315569765184116,1.1626529823723137,Operador 01
L2,operador_02,12.55666253797468,0.0975985692228691,0.2216482958167133,0.1854066640355008,0.1236044426903338,0.1522498658489726,1.4253627933232167,0.9843733740277018,1.2125026486021153,Operador 02
L6,operador_01,12.762136915043488,0.1754092980631623,0.3591219551049004,0.3323259725149865,0.2215506483433243,0.269328948046109,1.61290319843053,1.7359996199552554,2.1103750088171758,Operador 01
L6,operador_02,12.515706505826705,0.1469703093446718,0.325182133455587,0.2744495259083066,0.1829663506055377,0.2333145720477264,1.2791990884104365,1.4618939052330564,1.8641742033428674,Operador 02
L9,operador_01,9.714610873433555,0.2068733551830799,0.5461474552413988,0.3993982374498319,0.2662654916332213,0.3397336786374014,0.3192848051544672,2.7408765528774266,3.4971413993170586,Operador 01
L9,operador_02,9.642187259449752,0.1614900102765578,0.3195045684253342,0.3082188144225291,0.2054792096150194,0.2523476959489741,0.5321413419241168,2.131043549415005,2.6171208788925218,Operador 02
