experimento,trecho,numero_pontos,largura_media_mm,largura_mediana_mm,desvio_padrao_mm,iqr_mm,tendencia_mm_por_10pct,variacao_local_media_mm_por_10pct
L1,inicial,100,9.639791160788958,9.891726043339922,0.46832980084027825,1.0219259760137138,0.4615679062862792,0.5023698334881406
L1,intermediario,100,10.648573688184877,10.605876309281275,0.32565722663879737,0.614659210281868,0.29262972596001235,0.6649052987046988
L1,final,100,11.689640617037366,11.543897865572998,0.344379475397594,0.692721779711345,0.31640934890626354,0.4249201106811509
L2,inicial,100,11.734153740011811,12.139185560108466,0.9808460056145779,1.9350260774607282,0.9369902273245648,0.9409539961231227
L2,intermediario,100,13.06530640797948,13.02091204902039,0.19934779808778036,0.309712770492542,0.17930549889057712,0.42583031044736414
L2,final,100,13.197904771618848,13.173807635260111,0.2467230597219825,0.3104074414298559,0.0757011319709547,0.6168077261414787
L3,inicial,100,14.595852904567469,14.57313327884433,0.15599906467227537,0.1772387560201114,0.12645833143686255,0.5187685722796923
L3,intermediario,100,14.908048740205784,14.950381511516182,0.2829354103177362,0.2889420837583909,0.2263842948223811,0.6831195286645437
L3,final,100,15.542605890264317,15.205600203169276,0.8479481295165248,1.6891871396249378,0.071956288214193,1.3910547676625715
L4,inicial,100,7.754288965796161,8.078289994176833,0.7208836741150447,0.7433290498103604,0.6005044965338808,0.9197853457008818
L4,intermediario,100,8.866926892584406,8.916426451253855,0.41663197482112385,0.3214917263194721,0.40685730196522524,0.5923790694252767
L4,final,100,9.971048340361524,9.897342266767494,0.3843815802517438,0.5930725420483789,0.37155593617769683,0.5650747178918292
L5,inicial,100,10.562428996824465,10.529524386789152,0.27297713831544884,0.41007118433659784,0.27458836932322467,0.31020453466595227
L5,intermediario,100,11.044997267836601,11.009525536005643,0.2860810008436208,0.5102037676293669,0.24397128302053228,0.5124618745235369
L5,final,100,11.735296834626029,11.628112889182038,0.4056198152637374,0.5659272559850113,0.3992354459785755,0.550938271121262
L6,inicial,100,12.157456315718042,11.908672887981263,0.3738005387727764,0.757697514087651,0.3013325596017248,0.5015640849505071
L6,intermediario,100,12.687017755752729,12.654107339530217,0.27111088478947326,0.5310291778967802,0.19810101854377268,0.3764630472309475
L6,final,100,13.195799336471346,13.271369125829795,0.36176170415137043,0.46174820869815036,-0.2342195653347751,0.6880887540123551
L7,inicial,100,6.546283942562752,6.633208894069238,0.1941875957725315,0.3224284177103378,0.18048000861935248,0.31227656395411507
L7,intermediario,100,6.649027386011378,6.633100177107073,0.14188188553430925,0.1768346619790302,0.009975669257123563,0.3193846238964091
L7,final,100,7.5286979872279325,7.512942203229569,0.25205621412039214,0.46287333811351505,0.23548551771381884,0.3958658778800903
L8,inicial,100,8.12712427308033,8.15797476459747,0.3873486174328033,0.42964359788894946,0.27948272223590515,0.7807475540616649
L8,intermediario,100,8.780308013176661,8.767916803072048,0.20372625290808252,0.2827641731827537,0.19414342404525642,0.3661781410571788
L8,final,100,9.491257077204255,9.599443566336987,0.3128651041282217,0.3701665993629426,0.10624208483424176,0.8609111706824826
L9,inicial,100,9.63805395117904,10.019971258356897,0.7708489519958275,0.9877749339607327,0.6563353416791586,0.8357306650743586
L9,intermediario,100,9.710493641207302,9.57854415463409,0.24691103670249456,0.42318480019531,-0.22506640110244353,0.2781047169951157
L9,final,100,9.821429669163354,9.856518124942355,0.46169108282005716,0.9286614952990266,0.3673417937270667,0.6107262552466479
