experiment,numero_linhas,numero_frames_declarado,indice_inicial,indice_final,posicao_inicial,posicao_final,numero_orientacoes,numero_niveis_confianca,indices_consistentes,intervalo_normalizado_completo
L1,4234,4234,0,4233,0.0,1.0,1,1,True,True
L2,3950,3950,0,3949,0.0,1.0,1,1,True,True
L3,3850,3850,0,3849,0.0,1.0,1,1,True,True
L4,3050,3050,0,3049,0.0,1.0,1,1,True,True
L5,3100,3100,0,3099,0.0,1.0,1,1,True,True
L6,2950,2950,0,2949,0.0,1.0,1,1,True,True
L7,1750,1750,0,1749,0.0,1.0,1,1,True,True
L8,1850,1850,0,1849,0.0,1.0,1,1,True,True
L9,1900,1900,0,1899,0.0,1.0,1,1,True,True
