experimento,operador,numero_repeticoes,largura_media_global_mm,desvio_padrao_medio_mm,desvio_padrao_maximo_mm,amplitude_media_mm,cv_medio_percentual,erro_padrao_medio_mm,amplitude_comprimento_mm,numero_comparacoes,mae_medio_mm,rmse_medio_mm,mae_interoperadores_mm,rmse_interoperadores_mm,vies_interoperadores_mm,diferenca_maxima_interoperadores_mm,mae_interoperadores_percentual,diferenca_comprimento_mm
L2,operador_01,3,12.623424929136068,0.0931306099252351,0.2171091091935909,0.1763915934043971,0.7452738179370597,0.0537689827101285,1.8572909125120844,3,0.1175943956029314,0.1467666264161306,0.0815228140782863,0.1030404450263603,-0.0667623911613878,0.2511687420619619,0.6458058295266915,-0.0287952079459188
L2,operador_02,3,12.55666253797468,0.0975985692228691,0.2216482958167133,0.1854066640355008,0.7735752822820813,0.0563485602133458,1.4253627933232167,3,0.1236044426903338,0.1522498658489726,0.0815228140782863,0.1030404450263603,-0.0667623911613878,0.2511687420619619,0.6458058295266915,-0.0287952079459188
L6,operador_01,3,12.762136915043488,0.1754092980631623,0.3591219551049004,0.3323259725149865,1.4025360039783124,0.10127260545513,1.61290319843053,3,0.2215506483433243,0.269328948046109,0.2526079904799823,0.2900061783695492,-0.246430409216785,0.6077820569047283,1.979354963526667,1.1679643850703911
L6,operador_02,3,12.515706505826705,0.1469703093446718,0.325182133455587,0.2744495259083066,1.2059622158817913,0.0848533476630288,1.2791990884104365,3,0.1829663506055377,0.2333145720477264,0.2526079904799823,0.2900061783695492,-0.246430409216785,0.6077820569047283,1.979354963526667,1.1679643850703911
L9,operador_01,3,9.714610873433555,0.2068733551830799,0.5461474552413988,0.3993982374498319,2.142088057808334,0.1194383873031122,0.3192848051544672,3,0.2662654916332213,0.3397336786374014,0.2151694345152968,0.2585359971670738,-0.0724236139838036,0.4822410918531776,2.214905335052775,-0.2483326262312459
L9,operador_02,3,9.642187259449752,0.1614900102765578,0.3195045684253342,0.3082188144225291,1.6780298281881407,0.093236300904606,0.5321413419241168,3,0.2054792096150194,0.2523476959489741,0.2151694345152968,0.2585359971670738,-0.0724236139838036,0.4822410918531776,2.214905335052775,-0.2483326262312459
