experimento,largura_media_global_mm,mae_interoperadores_mm,rmse_interoperadores_mm,vies_interoperadores_mm,diferenca_maxima_interoperadores_mm,mae_interoperadores_percentual,diferenca_comprimento_mm,rmse_interoperadores_percentual
L2,12.623424929136068,0.0815228140782863,0.1030404450263603,-0.0667623911613878,0.2511687420619619,0.6458058295266915,-0.0287952079459188,0.8162637763110797
L6,12.762136915043488,0.2526079904799823,0.2900061783695492,-0.246430409216785,0.6077820569047283,1.979354963526667,1.1679643850703911,2.272395134922128
L9,9.714610873433555,0.2151694345152968,0.2585359971670738,-0.0724236139838036,0.4822410918531776,2.214905335052775,-0.2483326262312459,2.66131089073356
