experiment,numero_frames,diferenca_media_mm,diferenca_mediana_mm,media_diferenca_absoluta_mm,rms_diferenca_mm,desvio_padrao_diferenca_mm,q05_diferenca_mm,q95_diferenca_mm,proporcao_diferenca_positiva,correlacao_pearson,correlacao_spearman
L1,4234,0.3920265119215659,0.3798438710951082,0.3920266323360431,0.42244357824473167,0.1574155115870356,0.17190893092201076,0.6863296551483364,0.9992914501653283,0.9863189968135699,0.9840394639815973
L2,3950,0.05882663456659186,0.09663553862774599,0.25345889860971327,0.29916265031063344,0.29335900467356457,-0.42335826307602814,0.4763009465379567,0.6060759493670886,0.9474001492995177,0.7676011012212907
L3,3850,-0.196663132580947,-0.2656459829584952,0.3985907452064883,0.476845905941229,0.43445904004879604,-0.8265883872414653,0.6298429272257303,0.32,0.7811770561983977,0.6162089192745495
L4,3050,-0.1968101357221174,-0.21222005102760289,0.3329681169913489,0.4110643714173511,0.36094653824064343,-0.7243570108300034,0.4684281537643136,0.25639344262295083,0.9484496102490224,0.9371490615383078
L5,3100,-0.3807244912461349,-0.4288039104735022,0.4526470453514533,0.5240186018831466,0.36011969002006256,-0.8964985859766347,0.3421269857243705,0.15258064516129033,0.7992967530471937,0.7088521653879323
L6,2950,0.04174355465450727,0.1264453932698002,0.27888920060256017,0.33312185455562277,0.33055209045396544,-0.5909888054613206,0.48906139611289096,0.6684745762711864,0.8453365474134283,0.8384090451615864
L7,1750,-0.169158334413255,-0.09102971337510235,0.3118244570546597,0.40641086868370646,0.36963945713405827,-0.8445756792387491,0.3335185555153909,0.4165714285714286,0.8620017786394654,0.76533993966731
L8,1850,-0.29637113942413845,-0.37249286823160244,0.49298755627581087,0.5719355514389609,0.4892891069623416,-1.087479338572856,0.5363300264414615,0.26,0.6524800810142746,0.6072139747724506
L9,1900,-0.21308543019393705,-0.2592505668232894,0.3839209918675665,0.47830055832090895,0.42832532353720865,-0.9759541657836983,0.6042662894548628,0.2563157894736842,0.6920140452584851,0.47455207462161025
