arquivo,caminho,caminho_relativo,obrigatorio,encontrado,tamanho_bytes,sha256
dataset de auditoria dos frames,E:\AreaDeTrabalho\UFPR\IC_ML_DED\09_GitHub\y_reconstruction_validation_results\resultados_calibracao\datasets_with_reconstructed_y\static_inceptionresnetv2_reconstructed_y_dense_audit.csv,y_reconstruction_validation_results\resultados_calibracao\datasets_with_reconstructed_y\static_inceptionresnetv2_reconstructed_y_dense_audit.csv,True,True,408493678,5454b4ce5c933b95f0526a2b0cb14d51b5711ec1d75d5ec010e7a8d8f29b018f
perfis densos orientados,E:\AreaDeTrabalho\UFPR\IC_ML_DED\09_GitHub\y_reconstruction_validation_results\resultados_calibracao\final_width_profiles\cordon_width_profiles_dense_oriented.csv,y_reconstruction_validation_results\resultados_calibracao\final_width_profiles\cordon_width_profiles_dense_oriented.csv,True,True,2762436,4dce4fe21d09b945446f93baa890f94e8aeee89baa3ca459172671886262cb08
síntese da repetibilidade,E:\AreaDeTrabalho\UFPR\IC_ML_DED\09_GitHub\y_reconstruction_validation_results\repeatability_study\analysis\repeatability_final_summary.csv,y_reconstruction_validation_results\repeatability_study\analysis\repeatability_final_summary.csv,True,True,2289,962f1ec14044b4926fe843b457871b0db7acb6e1c8a4b23ced9303c67a17c3b4
